name_location,latitude,longitude
atlantic_coast,35.0,-75.0
bahia_blanca,-38.7,-62.3
ecuador,-1.8,-78.2
florida,28.0,-82.0
jamaica,18.1,-77.3
mexico,23.0,-102.0
peru,-9.2,-75.0
rio_grande_do_sul,-30.0,-53.0
upper_midwest,44.5,-93.5
aceh,4.7,96.8
bihar,25.8,85.3
central_philippines,11.5,123.5
central_vietnam,16.0,108.0
dhaka,23.8,90.4
guangdong,23.4,113.5
hat_yai,7.0,100.5
jakarta,-6.2,106.8
kanto_region,35.7,139.7
mekong_delta,10.1,105.8
north_sumatra,3.0,99.0
northeast_malaysia,5.3,102.7
quang_nam,15.6,108.1
sri_lanka,7.9,80.8
sylhet,24.9,91.9
andalusia,37.4,-4.6
borno_state,11.8,13.2
cape_town,-33.9,18.4
france,46.2,2.2
friuli_venezia_giulia,46.1,13.1
gaza_province,-23.0,32.7
kinshasa,-4.3,15.3
limpopo_province,-23.4,29.4
lombardia,45.5,9.9
maputo_province,-25.5,32.6
niger_state,9.9,6.0
sofala_province,-19.0,34.7
tanganyika,-5.7,30.4
valencia,39.5,-0.4
